country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",CO,25.0,2,1,-1,1
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",OZONE,36.0,0,3,-1,1
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",PM2.5,94.0,3,0,-1,1
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",SO2,16.0,2,1,-1,1
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB",NO2,23.0,0,3,-1,1
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB",CO,17.0,0,3,-1,1
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",NO2,19.0,2,1,-1,1
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",NH3,8.0,2,1,-1,1
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",SO2,7.0,2,1,-1,1
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",PM2.5,106.0,4,4,-1,1
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",PM10,111.0,4,2,-1,1
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",OZONE,20.0,2,1,-1,1
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",NO2,16.0,2,1,-1,1
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",PM2.5,75.0,4,4,-1,1
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",PM10,49.029335912314636,0,3,14,1
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",PM10,88.0,4,2,-1,1
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",NO2,41.0,0,3,-1,1
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",OZONE,29.0,0,3,-1,1
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",PM2.5,110.0,3,0,-1,1
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",NO2,27.0,2,1,-1,1
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",PM2.5,130.0,3,4,-1,1
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",SO2,11.0,2,1,-1,1
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",NH3,9.0,2,1,-1,1
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",OZONE,68.0,0,3,-1,1
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",NO2,24.0,0,3,-1,1
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",SO2,4.0,2,1,-1,1
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",OZONE,17.0,2,3,-1,1
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",CO,49.0,0,3,-1,1
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",NH3,5.0,2,1,-1,1
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",CO,24.0,2,1,-1,1
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",CO,56.0,0,3,-1,1
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",SO2,9.0,2,1,-1,1
